0,1,2,3,4,5,6,7,8,9,10,11,12,13,__table_index__,14,15
數,,,,,,原容大於法,,,,7綠,,,,6,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,6,,總獎勵額度
,,,,,,容3,,,,建築,,,,6,模獎,
,,,,,,,估,縮,計,,築,設計,設地,6,,
,,,,,,,,,,,,,,6,勵,
84,209 松山區,美仁段二小段616地號等土地,臺北市松山區南京東路四段,,108/10/5,10,8,,2,6,4,,,6,10,40
85,1590 內湖區,潭美段四小段344地號等土地,臺北市內湖區新明路,,108/10/7,,8,8,4,8,,3,,6,10,40
86,327 內湖區,康寧段一小段246地號等土地,臺北市內湖區大湖街,,108/10/8,,8,10,6,4,2,,,6,10,40
87,580.22 文山區,華興段四小段789地號等土地,臺北市文山區試院路,失其效力,108/10/9,,6,8,4,6,,4,,6,10,38
88,645 松山區,寶清段四小段67地號等土地,臺北市松山區南京東路五段,,108/10/9,,8,8,2,6,6,,,6,10,40
89,815 南港區,玉成段三小段600-1地號等土地 臺北市南港區中坡北路,,,108/10/18,,8,8,4,6,,4,,6,10,40
90,256 士林區,蘭雅段一小段123地號等土地,臺北市士林區克強路,,108/10/30,,6,,2,,,,,6,10,18
91,299 中正區,中正段二小段294地號等土地,臺北市中正區信義路二段,,108/11/5,,8,8,4,6,4,,,6,10,40
92,170 中正區,河堤段六小段218地號等土地,臺北市中正區同安街,,108/11/7,10,8,,2,2,,,,6,10,32
93,310 北投區,新民段三小段66地號等土地,臺北市北投區翠嶺路,,108/11/14,,8,8,6,6,2,,,6,10,40
94,379 文山區,木柵段二小段720地號等土地,臺北市文山區指南路一段,,108/11/18,,8,,2,8,6,3,,6,10,37
95,918 中正區,河堤段二小段143地號等土地,臺北市中正區南昌路二段,,108/11/18,,8,,2,6,,,,6,10,26
96,1187 中正區,臨沂段三小段2地號等土地,臺北市中正區新生南路一段,失其效力,108/11/18,,8,8,10,6,,,,6,10,40
97,490 大安區,懷生段三小段17地號等土地,臺北市大安區新生北路一段,,108/11/21,,8,8,10,4,,,,6,10,40
數,,,,,,原容大於法,,,,7綠,,,,7,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,7,,總獎勵額度
,,,,,,容3,,,,建築,,,,7,模獎,
,,,,,,,估,縮,計,,築,設計,設地,7,,
,,,,,,,,,,,,,,7,勵,
,,,,,,,,,,,,,,7,,154.02%
98,1168 士林區,三玉段一小段219地號等土地,臺北市士林區士東路,,108/11/22,753.68,8,8,10,6,,,,7,10,
,,,,,,,,,,,,,,7,,原容1.15
99,978 文山區,景美段五小段536地號等土地,臺北市文山區景後街,,108/11/22,,8,,2,6,,,,7,10,26
,,,,,,,,,,,,,,7,,390%
100,1304 松山區,敦化段一小段440地號等土地,臺北市松山區敦化北路,,108/11/27,4167.15,8,8,2,6,,,,7,10,
,,,,,,,,,,,,,,7,,原容1.15
101,820 士林區,永新段二小段547地號等土地,臺北市士林區延平北路六段,失其效力,108/11/27,,8,10,2,6,6,,,7,10,40
102,308 大安區,金華段三小段543地號等土地,臺北市大安區杭州南路二段,,108/11/27,,8,,6,8,6,3,,7,10,40
103,300 內湖區,康寧段一小段354地號等土地,臺北市內湖區大湖街,,108/11/28,,6,8,4,6,6,,,7,10,40
104,239 大安區,仁愛段三小段457地號等土地,臺北市大安區信義路四段,,108/11/28,,8,,,,,,,7,10,18
105,217 萬華區,雙園段三小段422地號等土地,臺北市萬華區西園路二段,,108/11/28,,8,,2,4,,,,7,10,24
106,264 大安區,仁愛段三小段405地號等土地,臺北市大安區信義路四段,,108/11/28,,8,,2,6,6,3,,7,10,35
107,435 信義區,犁和段三小段240-1地號等土地 臺北市信義區和平東路三段,,,108/12/6,,8,,10,6,6,,,7,10,40
108,1203 士林區,天母段一小段264地號等土地,臺北市士林區中山北路六段,,108/12/11,10,8,10,2,,,,,7,10,40
109,320 中山區,正義段一小段341地號等土地,臺北市中山區林森北路,,108/12/24,,8,,2,6,6,3,,7,10,35
110,826 大同區,大龍段三小段323-9地號等土地 臺北市大同區承德路三段,,,108/12/24,,8,8,,,,,,7,10,26
111,590 中正區,河堤段五小段411地號等土地,臺北市中正區廈門街,,108/12/27,,8,8,4,6,,4,,7,10,40
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,8,,
案件,,,,,,,,,,,,,,8,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,8,,
數,,,,,,原容大於法,,,,7綠,,,,8,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,8,,總獎勵額度
,,,,,,容3,,,,建築,,,,8,模獎,
,,,,,,,估,縮,計,,築,設計,設地,8,,
,,,,,,,,,,,,,,8,勵,
112,587 萬華區,莒光段二小段289-4地號等土地 臺北市萬華區艋舺大道,,,108/12/30,,8,10,6,6,,,,8,10,40
113,337 中山區,長安段四小段412地號等土地,臺北市中山區松江路,,109/1/7,,6,,4,8,6,,,8,10,34
114,395 北投區,奇岩段二小段32地號等土地,臺北市北投區公舘路,,109/1/9,,8,8,6,6,2,,,8,10,40
115,462 中山區,正義段三小段543地號等土地,臺北市中山區中山北路一段,,109/1/13,,8,8,4,6,,4,,8,10,40
116,913 士林區,天母段一小段246地號等土地,臺北市士林區中山北路六段,,109/1/15,,6,10,2,6,6,,,8,10,40
117,1909 大安區,瑞安段三小段406地號等土地,臺北市大安區瑞安街,,109/1/16,,8,10,2,6,,,5,8,10,40
118,373 士林區,陽明段二小段519地號等土地,臺北市士林區文林路,,109/1/17,,8,,4,6,6,4,,8,10,38
119,293 內湖區,康寧段一小段371地號等土地,臺北市內湖區大湖街,,109/1/17,,6,8,2,6,4,,,8,10,36
120,1653 萬華區,福星段二小段674地號等土地,臺北市萬華區武昌街二段,日新戲院,109/1/22,,8,,10,8,,,5,8,10,40
121,198.62 士林區,三玉段四小段206地號等土地,臺北市士林區中山北路六段,,109/2/3,,8,,2,4,4,3,,8,10,31
122,967 士林區,福林段三小段599地號等土地,臺北市士林區中山北路五段,,109/2/3,,8,,2,6,,4,,8,10,30
123,556 大同區,大同段二小段522地號等土地,臺北市大同區蘭州街,,109/2/4,,8,,,,,,,8,10,18
124,344 大同區,大龍段二小段30地號等土地,臺北市大同區敦煌路,,109/2/12,,8,8,10,4,,,,8,10,40
125,376 松山區,寶清段七小段478地號等土地,臺北市松山區饒河街,,109/2/14,,8,,2,,,,,8,10,20
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,9,,
案件,,,,,,,,,,,,,,9,時程,
,基地面積(㎡)行政區,地段地號,門牌地址,備註,核准日期,,4結,5基,6耐,,8智,9無,10捐,9,,
數,,,,,,原容大於法,,,,7綠,,,,9,+規,
,,,,,,,構評,地退,震設,,慧建,障礙,贈公,9,,總獎勵額度
,,,,,,容3,,,,建築,,,,9,模獎,
,,,,,,,估,縮,計,,築,設計,設地,9,,
,,,,,,,,,,,,,,9,勵,
126,477 萬華區,漢中段一小段58地號等土地,臺北市萬華區漢中街,,109/2/21,,8,,2,2,,,,9,10,22
127,440 北投區,溫泉段二小段247地號等土地,臺北市北投區民族街,,109/2/21,,8,10,2,,6,4,,9,10,40
128,255 中正區,河堤段五小段148地號等土地,臺北市中正區廈門街,,109/2/21,,8,,2,4,,,,9,8,22
129,131 北投區,奇岩段三小段544地號等土地,臺北市北投區公舘路,,109/2/21,,8,,,,,,,9,10,18
130,741 大安區,龍泉段二小段817-5地號等土地 臺北市大安區泰順街,,,109/2/24,,8,8,4,6,6,,,9,10,40
131,347 中山區,吉林段三小段320地號等土地,臺北市中山區錦州街,,109/2/26,,8,8,10,4,,,,9,8.5,38.5
132,1665 文山區,華興段四小段21-4地號等土地,臺北市文山區和興路,,109/2/26,,8,8,2,8,4,,,9,10,40
133,504 內湖區,康寧段一小段148地號等土地,臺北市內湖區大湖山莊街,,109/3/2,,6,8,4,6,,3,,9,10,37
134,1026 大安區,金華段二小段244地號等土地,臺北市大安區青田街,,109/3/3,,6,8,2,6,6,3,,9,10,40
135,1187 北投區,振興段一小段361地號等土地,臺北市北投區榮華二路,,109/3/9,,8,8,4,6,,4,,9,10,40
136,367 信義區,吳興段三小段58地號等土地,臺北市信義區祥雲街,,109/3/10,,8,8,2,6,4,3,,9,10,40
137,304 信義區,吳興段三小段52地號等土地,臺北市信義區祥雲街,,109/3/11,,6,8,4,2,,,,9,10,30
138,378 中山區,長安段三小段590地號等土地,臺北市中山區松江路,,109/3/11,,6,8,4,6,2,4,,9,10,40
139,1666.29 士林區,三玉段二小段631地號等土地,臺北市士林區士東路,,109/3/11,,8,8,2,6,6,,,9,10,40
數,,,,,,原容大於法,,,7綠,,,,+規,10,,
,,,,,,構評,地退,震設,,慧建,障礙,贈公,,10,總獎勵額度,
,,,,,容3,,,,建築,,,,模獎,10,,
,,,,,,估,縮,計,,築,設計,設地,,10,,
,,,,,,,,,,,,,勵,10,,
140,776 中山區,中山段三小段181地號等土地,臺北市中山區中山北路二段,,109/3/13,8,,4,6,6,,,10,10,34,
141,538 大同區,大同段一小段495地號等土地,臺北市大同區大龍街,,109/3/20,8,8,2,6,6,,,10,10,40,
142,841 中山區,中山段二小段102地號等土地,臺北市中山區撫順街,,109/3/23,8,,10,,,,,10,10,28,
143,391.21 北投區,行義段四小段402地號等土地,臺北市北投區石牌路二段,,109/3/27,8,8,4,6,2,,,10,10,38,
144,504 文山區,華興段三小段109-1地號等土地 臺北市文山區辛亥路七段,,,109/4/1,8,8,4,6,,4,,10,10,40,
145,312 松山區,寶清段七小段541地號等土地,臺北市松山區八德路四段,,109/4/4,8,,2,4,,,,10,10,24,
,,,,,,,,,,,,,,10,327.76%,
146,193 中正區,南海段五小段8地號等土地,臺北市中正區博愛路,,109/4/6554.4,8,,,,,,,10,10,,
,,,,,,,,,,,,,,10,原容1.15,
147,663 松山區,敦化段二小段503地號等土地,臺北市松山區復興北路,,109/4/710,8,8,4,,,,,10,10,40,
148,146 北投區,振興段三小段442地號等土地,臺北市北投區裕民六路,失其效力,109/4/8,6,,4,6,4,3,,10,10,33,
149,414 中山區,中山段四小段326地號等土地,臺北市中山區中山北路二段,失其效力,109/4/10,8,,2,,,,,10,10,20,
,,,,,,,,,,,,,,10,405.64%,
150,506 中正區,臨沂段三小段487地號等土地,臺北市中正區臨沂街,,109/4/10,1733.748,,10,,,,,10,10,,
,,,,,,,,,,,,,,10,原容1.15,
151,396 中正區,公園段二小段343地號等土地,臺北市中正區懷寧街,,109/4/10,8,,10,,,,,10,10,28,
152,300 中山區,長安段二小段335地號等土地,臺北市中山區八德路二段,,109/4/13,8,8,2,6,6,,,10,10,40,
153,421 士林區,芝山段二小段399地號等土地,臺北市士林區忠誠路一段,,109/4/13,8,10,2,6,4,,,10,10,40,
,,,,,,,,容積獎勵項目及額度(%)-依核准函為準,,,,,,11,,
